A1,A2,A3,A4,A5,A6,E,xa1,ya1,za1,xa2,ya2,za2,xa3,ya3,za3,xn1,yn1,zn1,xn2,yn2,zn2,xn3,yn3,zn3,dx1,dy1,dz1,err1,dx2,dy2,dz2,err2,dx3,dy3,dz3,err3
-10.9,-27.1,12.2,-108,-78,22.3,0,3919.998937,1887.893498,523.629823,3753.159056,2154.143034,446.358527,4047.530558,1922.994898,228.544068,3919.932095,1887.967268,523.7439949,3753.092429,2154.243659,446.4581586,4047.468449,1923.113404,228.6532665,0.066841555,-0.073769919,-0.114171893,0.151476122,0.066627014,-0.100624834,-0.099631569,0.156495897,0.062108728,-0.118506102,-0.109198541,0.172700642
75.4,-45.1,115.2,-107.1,94.7,148.1,0,1877.162108,850.579153,2123.475034,1645.464246,982.324547,1939.946567,1717.389782,574.952685,2067.956205,1877.352414,850.6063693,2123.594993,1645.632528,982.2318478,1940.041863,1717.759585,574.8841828,2068.035675,-0.190305659,-0.027216349,-0.119958525,0.226598811,-0.168282442,0.092699241,-0.095296145,0.214460917,-0.369802538,0.068502224,-0.079469709,0.384398109
-22.8,-56.2,71.5,-105.5,-76.2,300.2,0,3397.817859,1480.240156,-58.83574,3095.390369,1593.803597,-77.674289,3465.077731,1721.280451,-263.67808,3397.81431,1480.314912,-58.74211433,3095.413676,1593.929458,-77.62789015,3465.137924,1721.267074,-263.6544198,0.00354928,-0.074755923,-0.093625666,0.119861631,-0.023306863,-0.125861022,-0.046398847,0.136150871,-0.060193044,0.013376603,-0.02366022,0.066045001
-31.3,-29.7,35,-104.8,-98.3,10.2,0,3393.891427,1387.13195,-553.638541,3292.89738,1673.491979,-665.395685,3536.551162,1362.564432,-842.791151,3393.820128,1387.102208,-553.5184247,3292.877723,1673.478085,-665.3702613,3536.480505,1362.459674,-842.690327,0.07129888,0.029742353,-0.120116291,0.142814779,0.019657246,0.013894057,-0.025423684,0.035011653,0.070657209,0.104757848,-0.100824001,0.161654344
-32.4,-102.3,104.4,-103.9,-73.3,58.3,0,2594.948136,2150.013333,-161.875153,2557.959565,2417.635174,-340.006041,2497.887009,1998.466877,-430.569333,2595.070662,2149.967337,-161.9387498,2558.093366,2417.552977,-340.0998793,2497.944515,1998.371604,-430.5727515,-0.122526167,0.045996029,0.063596789,0.145508927,-0.133801039,0.082197259,0.093838315,0.182933695,-0.057506108,0.09527316,0.003418515,0.11133559
-29.8,-87.5,85.2,-100.6,-77.1,91.1,0,2869.62902,2397.945728,-153.983822,2899.043768,2569.978551,-426.491213,2713.564448,2187.567086,-343.617654,2869.73617,2397.835436,-154.1346525,2899.135767,2569.857713,-426.6319222,2713.614497,2187.462189,-343.7348717,-0.107149781,0.110291531,0.150830456,0.215395273,-0.091998816,0.120837898,0.140709184,0.207037808,-0.050049051,0.104897065,0.117217722,0.165070579
61.7,-88.3,119.1,-100.2,55.9,324.5,0,2292.922308,1521.257039,1944.172041,2060.648298,1525.73102,2169.445205,2139.185942,1781.340035,1828.830903,2293.010548,1521.330345,1944.182207,2060.770098,1525.789125,2169.471086,2139.218237,1781.367544,1828.822139,-0.088240134,-0.073305796,-0.010165672,0.115166843,-0.121799502,-0.058105463,-0.02588068,0.137408781,-0.032294612,-0.027509292,0.008763882,0.043318688
-6.7,-22,28.7,-99.4,-64.7,49.5,0,4153.881154,1234.571888,724.669967,4152.034734,1503.293069,544.458609,4162.881404,1083.422259,438.91123,4153.945876,1234.603792,724.7301694,4152.111039,1503.367209,544.523588,4162.972598,1083.54452,438.935043,-0.06472181,-0.031904395,-0.060202406,0.093974107,-0.076305333,-0.074140424,-0.064978979,0.124665849,-0.091194394,-0.122260891,-0.023813018,0.154373582
67.7,-65.1,106.3,-98.2,71.8,64,0,2260.613031,1226.621316,2177.87815,2085.226927,1495.041795,2221.62302,2033.641506,1154.568665,1959.078454,2260.727474,1226.84774,2177.869193,2085.26374,1495.18583,2221.665048,2033.749486,1154.704995,1959.109375,-0.114443249,-0.226423707,0.008957491,0.25386057,-0.036812582,-0.144034659,-0.04202787,0.154491071,-0.107980038,-0.136329969,-0.03092138,0.176639975
69,-34.9,67.5,-97.9,72.4,37.8,0,2464.63615,1024.215759,2877.44462,2276.112445,1260.621678,2992.66941,2250.205582,1017.192428,2635.471291,2464.711708,1024.161709,2877.296141,2276.114094,1260.502539,2992.556845,2250.259176,1017.091497,2635.345813,-0.075557816,0.05405019,0.148478944,0.175146806,-0.001649285,0.119139272,0.112565237,0.163914059,-0.053594301,0.100930783,0.125478295,0.169717926
-8.4,-22.1,20,-97.5,-75.8,47.4,0,3976.717224,1589.582629,724.287072,3961.931953,1855.566283,540.586563,4056.781835,1443.513205,447.094621,3976.761604,1589.696358,724.3001708,3961.966855,1855.693836,540.6212642,4056.87,1443.667333,447.1043214,-0.044379857,-0.113729496,-0.013098805,0.122782526,-0.034902154,-0.127552891,-0.034701223,0.136718964,-0.088165347,-0.154128384,-0.009700364,0.177827963
-12.6,-41.9,59.3,-96.9,-68.2,302.9,0,3803.121034,1323.439867,424.796209,3502.26065,1438.568662,394.021082,3872.027344,1535.461982,190.526384,3803.09074,1323.591776,424.8164911,3502.255445,1438.739371,393.9850793,3872.046181,1535.558151,190.5199597,0.03029449,-0.151909492,-0.02028212,0.156222963,0.005205383,-0.170708964,0.036002721,0.174541807,-0.01883662,-0.096169053,0.006424266,0.098206803
80.4,-53.7,92.7,-96.4,76.7,51,0,1790.717598,1193.029935,2786.892283,1595.010819,1442.781361,2850.418332,1603.714318,1156.575462,2525.583726,1790.797167,1193.015656,2786.588258,1594.977014,1442.664178,2850.157371,1603.792746,1156.475507,2525.295864,-0.079568612,0.014278685,0.304024575,0.3145886,0.033805436,0.117183343,0.26096127,0.28805473,-0.078428084,0.099954692,0.287862193,0.314653058
86.1,-54,118.2,-93.3,91.1,8.2,0,1491.617385,881.620784,2139.829551,1292.113119,889.869183,2394.484891,1274.849389,1081.026358,2006.314613,1491.882555,881.5455024,2139.888819,1292.335029,889.7050828,2394.496507,1275.008899,1080.784794,2006.289284,-0.265169516,0.075281643,-0.059268271,0.281948446,-0.221910158,0.164100224,-0.011615577,0.276238888,-0.159509678,0.241564484,0.025328922,0.290582676
-23.5,-61.4,80.8,-90.9,-71.7,14.4,0,3437.932031,1697.806169,-98.360572,3333.427308,1970.561444,-237.644903,3455.29189,1589.108712,-402.444741,3437.796767,1697.784178,-98.24747568,3333.341716,1970.515485,-237.5952458,3455.16858,1589.006809,-402.2947267,0.135263813,0.021990952,-0.113096323,0.177681398,0.08559189,0.045958848,-0.049657161,0.109105549,0.123310316,0.101903256,-0.150014326,0.219303456
34.6,-83.1,97.2,-88.1,16.1,86.3,0,3165.079136,1835.574814,1731.661418,3072.968062,2028.611542,1488.823794,2926.099373,1645.029514,1625.991186,3165.197506,1835.664839,1731.619577,3073.082803,2028.740193,1488.826783,2926.208434,1645.146629,1625.944773,-0.118370111,-0.090025189,0.041840735,0.154488397,-0.114740687,-0.128651322,-0.002989115,0.172410912,-0.109061354,-0.117115243,0.046412654,0.166626809
6,-67.6,85.5,-86.5,-34.5,2.1,0,3646.185192,1666.140679,1151.041143,3493.956598,1947.529925,1102.283181,3645.042404,1648.235325,828.19262,3646.099554,1666.054271,1151.195355,3494.004487,1947.465609,1102.344022,3645.008595,1648.100907,828.3095882,0.085638175,0.086407581,-0.154211885,0.196421671,-0.047888786,0.064315646,-0.060841387,0.100655415,0.033809103,0.134418203,-0.116968164,0.181363889
-4.7,-12.7,25.5,-86,-60.1,298.6,0,4292.947942,1045.353221,818.739282,3976.251083,1106.137838,791.94898,4318.106915,1242.747508,563.933715,4292.995756,1045.245835,818.7767327,3976.313856,1106.095672,791.9103918,4318.180364,1242.701321,563.9110775,-0.047814345,0.107385857,-0.037450652,0.12337133,-0.062773128,0.042166416,0.038588227,0.084897135,-0.07344887,0.046187464,0.022637542,0.089668705
-38,-41.2,86.6,-85,-98.9,14.6,0,2989.251265,1158.103741,-651.483487,2951.08419,1338.395169,-917.488454,2997.893843,911.652513,-860.700405,2989.109261,1157.971551,-651.4171334,2950.954147,1338.122008,-917.5013356,2997.812341,911.4228067,-860.5044341,0.142003645,0.132190368,-0.066353648,0.205041789,0.130043091,0.273160826,0.012881552,0.302810133,0.081502291,0.229706254,-0.195970934,0.31274941
32.7,-40,51.1,-84.4,12.1,336,0,3973.637686,1473.042691,2219.378963,3748.857267,1670.104807,2343.267548,3884.638731,1604.014663,1937.420846,3973.640593,1473.054115,2219.293179,3748.881715,1670.141472,2343.194069,3884.631895,1604.046884,1937.338603,-0.00290719,-0.011424215,0.085783787,0.086589968,-0.024447701,-0.036665213,0.073478847,0.085680621,0.006835606,-0.032221492,0.082243241,0.088594022
3.9,-32.7,47.1,-84.4,-46.5,28.9,0,4188.603279,1380.4644,1263.401325,4118.55242,1644.211649,1089.506421,4188.189882,1232.150082,976.028876,4188.532659,1380.48787,1263.455493,4118.504696,1644.266852,1089.592301,4188.189935,1232.234172,976.0535667,0.070620257,-0.02346977,-0.054167847,0.092044589,0.047723539,-0.055202855,-0.085879759,0.112695272,-5.33E-05,-0.084090433,-0.024690685,0.087640365
1.5,-54.5,73.5,-83.6,-42.8,3,0,3888.928546,1552.842666,1014.222936,3745.886477,1830.756264,930.413813,3899.604375,1501.300388,695.145191,3888.850071,1552.869055,1014.25995,3745.901594,1830.801153,930.407867,3899.551287,1501.281779,695.1941176,0.078475194,-0.026389348,-0.037013522,0.090690433,-0.015117425,-0.044888807,0.005946016,0.04773779,0.053087763,0.01860891,-0.048926592,0.074554769
68,-47.8,52.8,-83.4,73.6,310.7,0,2503.26127,1883.070341,2770.328649,2331.788516,1943.60231,3037.999476,2311.987711,2107.577471,2637.706467,2503.193081,1882.954534,2770.220416,2331.758262,1943.469228,3037.91225,2311.855271,2107.418824,2637.610821,0.068188753,0.115807459,0.108232604,0.172555412,0.030254378,0.133081737,0.087226221,0.161970644,0.132440286,0.158646974,0.0956464,0.227722475
13.3,-74.5,92.7,-83.3,-25.9,62.5,0,3452.662285,1696.85741,1419.266087,3446.682416,1912.636828,1178.19339,3293.460758,1508.854704,1209.749854,3452.794432,1696.895137,1419.210053,3446.841517,1912.728611,1178.187963,3293.59799,1508.942148,1209.663095,-0.13214745,-0.037726965,0.056034337,0.148411992,-0.159101206,-0.091783273,0.005426726,0.183757483,-0.137232419,-0.087443892,0.086758722,0.184407828
44.4,-85.8,102.5,-83.1,23,317.5,0,2810.881015,1682.898728,2022.678162,2566.124074,1816.149281,2187.150552,2741.287761,1908.963881,1802.156547,2810.987107,1682.861284,2022.630144,2566.246095,1816.106748,2187.123564,2741.37609,1908.935123,1802.119823,-0.106091695,0.037444476,0.048017759,0.12232433,-0.122020686,0.042533103,0.026988449,0.132009428,-0.088328755,0.028757697,0.036724482,0.099888246
56,-107.8,122.6,-80,46.6,354.3,0,2245.243254,1688.346799,1605.297482,2087.055096,1932.463427,1747.078259,2096.065959,1791.730881,1337.661291,2245.370365,1688.356239,1605.515727,2087.181174,1932.471236,1747.272177,2096.191098,1791.714117,1337.855338,-0.127111205,-0.009439524,-0.218245211,0.252739659,-0.12607827,-0.007808501,-0.193917929,0.231432206,-0.125139245,0.016763572,-0.194046693,0.231505868
42.7,-110.6,123.8,-79.2,29.8,318.3,0,2495.658307,1721.043546,1408.190817,2280.093034,1865.797623,1601.301186,2388.925829,1931.864591,1187.402837,2495.782233,1721.075533,1408.284523,2280.222151,1865.825726,1601.395391,2389.025142,1931.867636,1187.492103,-0.123925795,-0.031987144,-0.093705881,0.158623996,-0.12911721,-0.028103444,-0.094204872,0.162282517,-0.099312844,-0.003045363,-0.08926563,0.133568963
-0.1,-86.7,115.1,-74.5,-49.2,8.9,0,3023.695501,1615.172126,979.359764,2940.190478,1886.900548,824.743561,3011.963027,1483.663384,684.140945,3023.738899,1615.132602,979.2965832,2940.296488,1886.874771,824.6855616,3012.020063,1483.63319,684.0856515,-0.043398287,0.039524261,0.06318082,0.08624033,-0.106009702,0.025777076,0.05799937,0.123557442,-0.057035968,0.030193635,0.055293536,0.08498313
65.5,-93.5,98,-72,52.5,292.2,0,2130.011474,2045.948576,2223.452316,1880.545419,2104.466048,2421.069564,2030.000423,2314.098307,2072.873892,2130.10424,2045.828216,2223.395406,1880.642579,2104.289714,2421.035664,2030.039246,2313.980199,2072.859388,-0.092765728,0.120360042,0.056909842,0.162267526,-0.097160362,0.176333906,0.033899688,0.204164079,-0.038823275,0.118108358,0.014503761,0.125168647
73.5,-129,118,-69.9,71.4,293.6,0,1656.464403,2211.85035,1367.489574,1444.466394,2310.694657,1591.104974,1526.669757,2448.003629,1188.738909,1656.613906,2211.860119,1367.532427,1444.557333,2310.665573,1591.094916,1526.803244,2447.997389,1188.737501,-0.149502916,-0.009768709,-0.042852641,0.15582971,-0.090938647,0.029084053,0.010057534,0.09600455,-0.133486629,0.006240014,0.001407678,0.133639813
